"BSA Member ID","First Name","Middle Name","Last Name","Advancement Type","Advancement","Version","Date Completed","Approved","Awarded"
1234567890,"Elijah","","Smith","Rank","Lion",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Lion",2018,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Bobcat",2010,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Bobcat",2015,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Tiger",2010,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Tiger",2015,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Tiger",2019,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Wolf",2010,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Wolf",2015,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Wolf",2019,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Bear",2010,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Bear",2015,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Bear",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Bear",2019,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Webelos",2010,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Webelos",2015,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Webelos",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Webelos",2019,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Arrow of Light",2010,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Arrow of Light",2015,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Arrow of Light",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Arrow of Light",2019,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Scout",2012,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Scout",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Tenderfoot",2012,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Tenderfoot",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Second Class",2012,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Second Class",2013,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Second Class",2015,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Second Class",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","First Class",2012,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","First Class",2013,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","First Class",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Star Scout",2012,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Star Scout",2013,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Star Scout",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Life Scout",2012,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Life Scout",2013,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Life Scout",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Eagle Scout",2012,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Eagle Scout",2013,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Eagle Scout",2014,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Eagle Scout",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Apprentice",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Ordinary",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Able",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Rank","Quartermaster",2016,"1/1/2017",0,0
1234567890,"Elijah","","Smith","Lion Rank Requirement","1",2016,"1/1/2017",0,
1234567890,"Elijah","","Smith","Lion Rank Requirement","2",2016,"1/1/2017",0,
1234567890,"Elijah","","Smith","Lion Rank Requirement","3",2016,"1/1/2017",0,
1234567890,"Elijah","","Smith","Lion Rank Requirement","4",2016,"1/1/2017",0,
1234567890,"Elijah","","Smith","Lion Rank Requirement","5",2016,"1/1/2017",0,
1234567890,"Elijah","","Smith","Lion Rank Requirement","1a",2018,"1/1/2017",0,
1234567890,"Elijah","","Smith","Lion Rank Requirement","1b",2018,"1/1/2017",0,
1234567890,"Elijah","","Smith","Lion Rank Requirement","1c",2018,"1/1/2017",0,
1234567890,"Elijah","","Smith","Lion Rank Requirement","1d",2018,"1/1/2017",0,
1234567890,"Elijah","","Smith","Lion Rank Requirement","1e",2018,"1/1/2017",0,
1234567890,"Elijah","","Smith","Lion Rank Requirement","2",2018,"1/1/2017",0,
1234567890,"Elijah","","Smith","Bobcat Rank Requirement","1",2010,"1/1/2017",0,
1234567890,"Elijah","","Smith","Bobcat Rank Requirement","2",2010,"1/1/2017",0,
1234567890,"Elijah","","Smith","Bobcat Rank Requirement","3",2010,"1/1/2017",0,
1234567890,"Elijah","","Smith","Bobcat Rank Requirement","4",2010,"1/1/2017",0,
